0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:49:55 +0530] "GET /MyProject/images/about-img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:49:55 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:49:56 +0530] "GET /MyProject/about.jsp HTTP/1.1" 200 7190
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/index.jsp HTTP/1.1" 200 18077
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/css/jquery.mCustomScrollbar.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/js/jquery-3.0.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/js/plugin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/js/owl.carousel.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/images/img-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/images/img-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/images/img-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/images/about-img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/images/play-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/images/client-img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:54:38 +0530] "GET /MyProject/images/quick-icon.png HTTP/1.1" 304 -
