0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:52 +0530] "GET /MyProject/js/nouislider.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:52 +0530] "GET /MyProject/js/slick.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:58:37 +0530] "GET /MyProject/js/jquery.smartmenus.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:58:37 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:58:37 +0530] "GET /MyProject/js/jquery.smartmenus.bootstrap.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:58:37 +0530] "GET /MyProject/js/jquery.simpleGallery.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:58:37 +0530] "GET /MyProject/js/sequence-theme.modern-slide-in.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:58:37 +0530] "GET /MyProject/js/sequence.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:58:37 +0530] "GET /MyProject/js/nouislider.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:58:37 +0530] "GET /MyProject/js/slick.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:58:37 +0530] "GET /MyProject/js/jquery.simpleLens.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:58:37 +0530] "GET /MyProject/img/fashion/fashion-header-bg-8.jpg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:58:37 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:58:43 +0530] "POST /MyProject/pgRedirect.jsp HTTP/1.1" 500 2550
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:46 +0530] "GET /MyProject/index.jsp HTTP/1.1" 200 7895
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:46 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:46 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:49 +0530] "GET /MyProject/login.jsp HTTP/1.1" 200 6360
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:49 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:49 +0530] "GET /MyProject/js/owl.carousel.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:49 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:50 +0530] "GET /MyProject/login.jsp HTTP/1.1" 200 6360
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:55 +0530] "POST /MyProject/UserController HTTP/1.1" 200 8091
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:56 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:56 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:58 +0530] "GET /MyProject/cart.jsp HTTP/1.1" 200 15013
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:58 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:58 +0530] "GET /MyProject/img/fashion/fashion-header-bg-8.jpg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:58 +0530] "GET /MyProject/js/jquery.smartmenus.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:58 +0530] "GET /MyProject/js/jquery.smartmenus.bootstrap.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:58 +0530] "GET /MyProject/js/sequence.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:58 +0530] "GET /MyProject/js/jquery.simpleLens.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:58 +0530] "GET /MyProject/js/jquery.simpleGallery.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:58 +0530] "GET /MyProject/js/nouislider.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:58 +0530] "GET /MyProject/js/slick.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:58 +0530] "GET /MyProject/js/sequence-theme.modern-slide-in.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:00:58 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:01:04 +0530] "POST /MyProject/pgRedirect.jsp HTTP/1.1" 200 4637
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:01:04 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:01:04 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:01:44 +0530] "POST /MyProject/pgResponse.jsp HTTP/1.1" 200 3554
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:01:44 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:01:44 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
